Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,This week we talk about how to handle a relationship with your best friend. We also talk about the importance of having a good relationship with your best friend. Enjoy!,3,2306987O_abs_run1
01qEmLFElBRXlHzqT0ifI9,"1993, the Northwestern Wildcats were busted for intentionally losing games to pay off gambling debts. But Kenneth Dion Lee and Dewey Williams had been in a state of shock when they both found out their gambling debts were the least of their worries. Sponsors! BetterHelp - Listen now at BetterHelp.com/SportsCriminals. Plus, you get 10% off your first month with discount code SportsCriminals. Checking your rate only takes a few minutes—and won’t affect your credit! Go to BetterHelp.com/Scandal or use promo code SportsCriminals to get 20% off your first month! Visit www.sportscrimin.",1,2306987O_abs_run1
020VZpYLp8NdRDibQXjpVY,This is Africa time for Africa.,0,2306987O_abs_run1
02M6TWdvrauOreyDIFYKmI,This week we talk to Ian Mackay about mental health and how it can affect your mental health. We also discuss the importance of being mindful of what you are doing in order to improve your mental health.,3,2306987O_abs_run1
04Llj5QjDot46TEDGj7lbI,"This episode is from a conversation I had with Vanessa. We talk about her life and how she was able to get out of the house without being seen again. You can find Vanessa on Instagram at @VanessaJass, youtube.com/VanessaJass or email me at findingperspectivepodcast@gmail.com.",1,2306987O_abs_run1
04xHi6OlXWxwnQUE66jH2i,This week's episode is about shifting our perspective from outward to inward. We need to shift our perspective and see that God is using our present sufferings to prepare for an eternal weight of glory!,3,2306987O_abs_run1
05EF9y109a39kdWnc4caqg,This week we talk about the new L2Assistant style and how to use it to get better.,1,2306987O_abs_run1
00SE6vEbN1PU6OFV9anG5i,"This is a story about two young strangers who are blind. They have been on a train journey for more than 2 hours, but they were never allowed to see each other again. Then, the girl's eyes began to change and she was left with no choice but to go on a journey of discovery. This is a dramatic irony that you will not want to miss! You can follow me on Instagram @ishka_elmo or leave me a message on my Facebook page @itunes. Enjoy!",2,2306987O_abs_run1
05gIsdiumhzh7JjEhBELVr,"This week we have a very special guest, Alec Baldwin. We talk about his career and what it's like to be a comedian. He also talks about how he got into the business of writing for an event company. You can follow him on Instagram @alexandrew and check out his website at https://www.instagram.com/alexandrew. Enjoy!",0,2306987O_abs_run1
05twJsuaGpK4wyXZsWZu08,This week we are joined by Gary Bennett of Star Sports to talk about his career and what he learned along the way. We also talk about how he got into baseball and why he loves it so much. Enjoy!,3,2306987O_abs_run1
06lTquWPAOVJexhZonvQCa,"This is a show where we will be discussing the creative like not just as individuals, but also as a community. We will also be featuring other artists on this podcast as well. If you're interested in listening to this podcast, make sure to check us out every Sunday of the month on Spotify, Apple Podcast, or wherever you listen to podcasts. Enjoy!",3,2306987O_abs_run1
07y0yNc4rF8JOVDEAX7zT2,"This episode of the Privacy Right Podcast, we discuss the importance of having a privacy policy for strata corporations. We also discuss how you can protect your personal information from being shared with others. If you have any questions or comments, please email us at info@privacyrightpodcast.com. Thanks for listening!",2,2306987O_abs_run1
00v0W2K3d8o68maX79QK2v,"This week we have a special guest! We talk about our first weekend of college, the new year, and what it's like to be a Bachelor. Also, we discuss some recent news that has been happening in the past few weeks. Enjoy!",1,2306987O_abs_run1
081FoKeWRf8nzJi6MQFKRl,"This is the first episode of 'Version Finale', where we talk about what it means to be a creative and how to get started. We also talk about some of the things you need to know before starting your own brand. You can follow us on Instagram @versionfinale or email us at versionfinale@gmail.com. Thanks for listening! Follow us on Twitter: https://twitter.com/versionfinale If you like what we do, please leave us a 5-star rating and a review. Thank you so much for listening! I hope you enjoy!",1,2306987O_abs_run1
08RS6NQIGy9O2KyKVlCzdU,This week we talk about the importance of micronutrients in the body. We also talk about how you can use them to improve your overall health and performance.,1,2306987O_abs_run1
00x6bXv5JPNTCDteN5JGlP,"This week’s episode is from the book, “It’s a Good Thing” by Julia Cameron. We talk about how to be more authentic in your writing and what it means to be honest with yourself. You can find Alex on Instagram at https://www.instagram.com/alexandria-ludlow/ or you can email me at ariel@gmail.com. Thank you so much for listening!",3,2306987O_abs_run1
00y3rxCkHBrbY1xwqojEGR,"This is a great interview with the very talented and extremely accomplished, Milli Vanille. We talk about how we can create a better relationship with our partner, what it means to be in control of our lives, and how to make that happen. Follow me on Twitter @garyvee for more content! Tweet Me! @garyvee Text Me! 212-931-5731 Email: garyvee@gmail.com Instagram: @garyvee Website: https://www.instagram.com/garyvee Facebook: https://www.facebook.com/groups/garyvee/ Contact: info@garyvee.com or email: gar.",0,2306987O_abs_run1
00yoUSA2yh7eAY8t45JM91,"This week we talk about Roc Nation’s new album, the fact that she isn’t paying any money to her mother, and how it affects her life. We also discuss some of the biggest stories in the music industry. Enjoy!",0,2306987O_abs_run1
01D58jn9qXZ01y8pRQX0KZ,This week we talk about the upcoming game against the Horned Frogs. We also talk about what it means to be a college football player and how to get better at being a coach. Enjoy!,2,2306987O_abs_run1
01VLfoxXkwAXtuYGTQYrsT,"This week on 90 Day Fiancé, we dive right into the latest gossip. We talk about Avery's upcoming book, and what it means to be a woman in a relationship with someone who isn't your normal self. Follow us on http://www.Twitter.com/AfterBuzzTV ""Like"" Us on http://www.Facebook.com/AfterBuzzTV ""Like"" Us on http://www.Facebook.com/AfterBuzzTV ""Like"" Us on http://www.Facebook.com/AfterBuzzTV ""Like"" Us on http://www.Facebook.com/AfterBuzz.",2,2306987O_abs_run1
1E23TJE5PZuN8hFIbiOkie,"This week we talk about the shit that happens when you're trying to kill yourself. It's time to get out of your own way and start living your best life. We also have a new segment called ""Suicide Prevention"" which will be released on July 1st! Follow us on Twitter: https://twitter.com/MissionAddict Follow us on Instagram: https://www.instagram.com/missionaddict/ Follow us on Facebook: https://www.facebook.com/MissionAddict/ Follow us on Twitter: https://twitter.com/MissionAddict/ Follow us on Twitter: https.",0,2306987O_abs_run1
1EPOaWpjdUB7lB589jjTx3,"This is the first episode of HEART ME OUT. We talk about our high school experience, how we met, and what it's like to be in a relationship with someone who hasn't been around for a while. Hope you enjoy!",1,2306987O_abs_run1
