Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,"This is the first episode of AfterBuzz TV, a reality television series about women who are in love with their parents. They have been together for 4 years and now they're back together again. This time, they talk about how they met, what it's like to be single, and much more! Follow us on http://www.Twitter.com/AfterBuzzTV ""Like"" Us on http://www.Facebook.com/AfterBuzzTV ""Like"" Us on http://www.Facebook.com/AfterBuzzTV ""Like"" Us on http://www.Facebook.com/AfterBuzzTV ""Like"" Us on http.",0,2306987O_extabs_run3
01qEmLFElBRXlHzqT0ifI9,"1993, college basketball was rocked by a bizarre point-shaving scandal. But in the aftermath of the scandal, both players began to lose their freedom. Sponsors! BetterHelp - Listen now at BetterHelp.com/SportsCriminals or use promo code SPORTSCRIMINALS to get 10% off your first month with discount code SPORTSCRIMINALS when you go to BetterHelp.com/SportsCriminals. Check out our new podcast, Sports Criminals, available now on Spotify, or wherever you listen to podcasts. You can find us on Apple Podcasts, Spotify, or wherever you listen to podcasts. For more sports, check out our.",1,2306987O_extabs_run3
020VZpYLp8NdRDibQXjpVY,This is Africa time for Africa.,0,2306987O_extabs_run3
02M6TWdvrauOreyDIFYKmI,This week we talk about the importance of respect and how it relates to our body. We also talk about some things that aren't always talked about in the gym. Thanks for listening!,1,2306987O_extabs_run3
04Llj5QjDot46TEDGj7lbI,"This is a story of how I was coerced into the sex trafficking world and what it was like to be in the sex industry. It’s not about money, it’s about being happy. Listen to hear my story!",1,2306987O_extabs_run3
04xHi6OlXWxwnQUE66jH2i,"This week's episode is a reminder of how we can use our suffering for good. We need to shift our perspective and see that God is using these presents for good! The glory of the Lord is not a hindrance to God's plan, but it is a treasure in the depths of our souls! It's like turning our eyes to Jesus because He knows that what is coming doesn't even compare to what we are going through right now! What does this mean for us? How do we deal with suffering? How do we change our perspective? How do we look at our lives differently when we feel so much more than ever before? Tune in today's episode to find out!",3,2306987O_extabs_run3
05EF9y109a39kdWnc4caqg,"This week we talk about the hype night tournament rules, how to use them, and a few things that you can do to make it fun. Enjoy!",2,2306987O_extabs_run3
00SE6vEbN1PU6OFV9anG5i,This is a story about two young strangers who are blind. Listen to the audio and listen to the ending of the story. Enjoy!,0,2306987O_extabs_run3
05gIsdiumhzh7JjEhBELVr,"This week we talk about how to get into a comedy show, and the importance of having a good time.",0,2306987O_extabs_run3
05twJsuaGpK4wyXZsWZu08,"This week we talk about the cheating of the strike zone and what it is like to be a professional baseball umpire. We also talk about our favorite players in the world, how they got into the game, and some of the things that go on behind the plate. Enjoy!",1,2306987O_extabs_run3
06lTquWPAOVJexhZonvQCa,"This is a show where we will be discussing the creative like not just as individuals but also as a community. We will also be featuring other artists on this podcast as well. If you're interested in listening to this podcast, make sure to check us out every Sunday of the month on Spotify, Apple Podcast, or wherever you listen to podcasts. Be sure to check us out every Sunday of the month on Spotify, Apple Podcast, or wherever you listen to podcasts!",3,2306987O_extabs_run3
07y0yNc4rF8JOVDEAX7zT2,"This episode is a part of our privacy right educational series. We want to hear their most common strategy related privacy concerns and how they’re dealing with them. The information and privacy commissioner for British Columbia, Noel Boivin, speaks with Sandy Wagner from the Victoria Island Strat Owners Association, Peggy Madsen and Emily Chamberlain from Cornerstone Properties. To learn more, visit www.noelboivin.com.",3,2306987O_extabs_run3
00v0W2K3d8o68maX79QK2v,"This week, we talk about the upcoming season of The Bachelor. We also discuss some of the biggest names in sports and what they are looking forward to for the rest of the year. Enjoy!",1,2306987O_extabs_run3
081FoKeWRf8nzJi6MQFKRl,"This is the first episode of Version Finale, a podcast about where ideas come from. In this episode, we talk about how to find inspiration in an art school and what it means to be an artist. We also talk about some of the things that you need to know before starting your own business. If you want to learn more about Michael Jordan, check out his website: https://www.ogilvyarts.com/ www.instagram.com/michaeljordan/ Follow me on Instagram: https://www.instagram.com/versionfinal/ Facebook: https://www.facebook.com/groups/VisionFinal/ Twitter: https://t.",1,2306987O_extabs_run3
08RS6NQIGy9O2KyKVlCzdU,This is a great way to start your week off right. I hope you enjoy it and let me know what you think on Instagram @joebelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbelbel.,0,2306987O_extabs_run3
00x6bXv5JPNTCDteN5JGlP,"This episode is a little bit about me and what I want to talk about. It's not meant to diagnose, treat or replace the personalized care provided by a trained professional. In fact, it's my hope that these topics encourage you to reach out and seek help. No shame attached until next time friends!",1,2306987O_extabs_run3
00y3rxCkHBrbY1xwqojEGR,This week I talk about how to create change in your life.,0,2306987O_extabs_run3
00yoUSA2yh7eAY8t45JM91,This is the first episode of Teatime Unfiltered with your girl lovely tea.,1,2306987O_extabs_run3
01D58jn9qXZ01y8pRQX0KZ,This is the first episode of From Mount Olympus Podcast. We talk about what made him decide to leave the confines of Oklahoma and play in Texas.,2,2306987O_extabs_run3
01VLfoxXkwAXtuYGTQYrsT,"This week on AfterBuzz TV, we talk about Darcy's most recent dramatic cosmetic procedure.",1,2306987O_extabs_run3
1E23TJE5PZuN8hFIbiOkie,This is the first episode of a two part series on how we can get people to commit suicide at a time and place of our choosing. This is the second part of a three part series on what it means to be a killer in the television industry. I hope you enjoy!,0,2306987O_extabs_run3
1EPOaWpjdUB7lB589jjTx3,"This is the first episode of a two-part series. We talk about how we met, what it's like to be in a relationship with someone else, and why we love each other so much. Enjoy!",1,2306987O_extabs_run3
1EUY0YMsUCReAi78xtVKeU,"This week we talk to Rich Good, the co-producer of the new Psychedelic Furs album ""Made of Rain"". We also talk about the band's history and how they came to be known as ""The Wasps"" in the early 2000's. Enjoy!",1,2306987O_extabs_run3
1EcBqy8tM3TYInm1k8Fdbm,"This is the first episode of a three part series with Dr. Scout. We talk about what it's like to live in a spaceship, and how we can use our psychic abilities to help others. If you have any questions or suggestions for future episodes please email us at aferocapparanormalpodcast@gmail.com. Thanks for listening!",0,2306987O_extabs_run3
1EwZ9ewnlXBQ3jH5ImlY3o,This is the first episode of the Life & Football Podcast. I talk about what it takes to be successful in life and football. Enjoy!,1,2306987O_extabs_run3
1F4hsSqn87iEttR0rA4tRS,Today's episode I want to thank you for your support and listening to each episode.,0,2306987O_extabs_run3
1G02hUDmyMFk1aKts60uPC,"This is the first episode of Love, Growth and Freedom with Adrienne White Death. I hope that this podcast can help you to reflect on what you have been through and how it has helped you.",1,2306987O_extabs_run3
1GOXInXdJrluLuLywx5NzP,This week we talk about sex and how it has changed over the years. We also have a new promo code that you can use to purchase any podcast apparel from Brandon Bills! Enjoy!,0,2306987O_extabs_run3
1Gcwzel68ribYC6kga7Eib,"This series will help you understand the psycho-spiritual aspects of the energy and how to bring about a shift in your mind. This series will teach you how to recognize the effect of every word, every thought, every thought on your surroundings so that you can bring about the desired shift in your surrounding. It is very easy to master the art of observing, modifiing, amplifying your thought so that you can bring about the desired shift in your surrounding. I'm going to introduce you to the psycho-spiritual aspect of the energy.",2,2306987O_extabs_run3
1GjzWFb5mT9lXCgSety6VH,"This episode of the Rich Roll Podcast, I sit down with Andrew Pesky to talk about how he came to be a lawyer and now hosts the long-running podcast Rich Roll. He also talks about his time in New York as a divorcee, living in an airstream, and what it means to be a successful artist. We hope you enjoy! Follow Andrew on Instagram: @AndrewPesky www.instagram.com/andrewpesky www.instagram.com/andrewpesky www.instagram.com/andrewpesky www.instagram.com/andrewpesky www.instagram.com/andrew.",0,2306987O_extabs_run3
1Gs0FfKfblOH4nFbIi0yIL,This is a great article by Gigi about Bitcoin and how it can be used as a living organism. I hope you enjoy!,1,2306987O_extabs_run3
1Hh5YXYGj7pEs9jyhYAX9c,"This is a short interview with Donovan Brazier. We talk about his journey to becoming a full circle captain, the importance of being a good athlete, and what it takes to be a great athlete. Enjoy!",1,2306987O_extabs_run3
1HmN1BDPrSiIdYEWTX84xz,"This is the first episode of a two part series. This week, we talk about Emily Blunt's death and how it affects her life. We also discuss some of our favorite horror movies from the past year. Enjoy!",0,2306987O_extabs_run3
1IGWQ2uSXK2vhwZ7wVYLBp,This week we talk about the Ghost and Shadow challenges for Fortnite.,0,2306987O_extabs_run3
1IV366QieNfHHrWKechXo0,"This week we talk to the assistant news editor of The Journal Body, Patrick O'Brien. We chat about his career and how he got involved in music as a young boy. Follow us on Twitter @sweetoblivion26 for more content! https://twitter.com/sweetoblivion26 Instagram: @sweetoblivion26 Email: sweetoblivion26@gmail.com Subscribe: Apple Podcasts Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe: Spotify Subscribe.",0,2306987O_extabs_run3
1IdIzNXBCtUTHLHCtq0z8F,"This week we have a guest on the show, Lil Wayne. We talk about his new album and how he got into music. He also shares some of his favorite songs from the past year. Enjoy!",0,2306987O_extabs_run3
1JdBQNxOOXManwRuQkCMdl,"This week on Girls Club, we talk about the importance of friendships and how they can help you live a more authentic life. We also talk about our own experiences with friends and how to deal with them in order to have a better relationship with God. Thank you so much for listening!",1,2306987O_extabs_run3
1JnsLxgHqv9kv21D5bhIKy,"This is a review of the Pulsar Trail scope. I talk about what to look for when looking at a digital night vision scope and how it can be used in conjunction with your daytime scope. Also, check out my YouTube channel! https://www.youtube.com/channel/UCrQvU8RwxSqImgcfyoXjDi0e9uA6E7VhTk5P1YzO2JZW?view_as=subscriber Follow me on Instagram: https://www.instagram.com/outdoorlegacy/ https://www.instagram.com/outdoorlegacy/ https.",1,2306987O_extabs_run3
1Jzr0NPKtscqfyNa08GGos,"This week’s episode is all about working away from the home moms and the stay at home moms. We talk about how to be a great mom, what it means to be a good mom, and why we are so grateful for our job!",1,2306987O_extabs_run3
1KChgOZE6wN4JVuAEXx9Ij,"This is episode 102 of the Two Minute Tennis Podcast. In this episode, Ryan talks about how to play both up and down at net.",0,2306987O_extabs_run3
1LGiNqeMucKlN34wEBFDFJ,"This episode is brought to you by Mythical Monsters, a Parcast Original. For more episodes like this one, subscribe to Mythical Monsters on Spotify, or wherever you listen to podcasts. In the early 1800s, mythology began to spread throughout Greece, and it was only natural that people would be afraid of their own death. But when they were forced to live in the shadows of the gods, there was no way for them to escape. Then, with the help of her mother, Hera, she found peace. Sponsors! Upstart - Hurry to Upstart.com/MythicalMonsters to find out HOW LOW your Upstart rate is. Check.",0,2306987O_extabs_run3
1LGrOPH2MVCMrqB18TNtWZ,"This is episode 4 and we have a lot to talk about. This week, we discuss the importance of having a good audience and how it can help you with your work. We also talk about our favorite comedians and what they do best. Enjoy!",1,2306987O_extabs_run3
