Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,"Hosts DJ Beaulieu and Ebony Chapman break down Siesta Key Season 3 Episode 9 where Ish pops the big question to Madison , Brandon apologizes to Allie, Alyssa and Chloe talk about Alex and Juliettes relationship, and Madison and Ish get back on the same page after a terrible trip. They also talk about the new house and how theyre getting ready to move in together. After Show: Join us as we follow the lives of a group of young adults as they spend the summer together in their beautiful hometown. From the beach, to the bars, the social scene, and the clubs, well follow along with all of the couples as they enjoy a summer holiday together. Join us for reviews, recaps and in-depth discussions of the latest episodes, as well as the insider scoop from cast and crew members on the show. About Siesta KEY: Siesta Keys is an American reality television series that premiered on VH1 on July 12, 2015. It follows the lives and loves of a young group of people living in a beautiful Florida beach town as they pursue their dreams and each other while trying to.
",1,UCF_NLP2
01qEmLFElBRXlHzqT0ifI9,"In 1995, two players on the Northwestern Wildcats were busted for intentionally losing games to pay off gambling debts. It was a point-shaving scandal that would rock college basketball for years to come. For more shocking sports events, check out our March Madness Special.
",3,UCF_NLP2
020VZpYLp8NdRDibQXjpVY,"Get up, dust yourself off, its Africa time!
",0,UCF_NLP2
02M6TWdvrauOreyDIFYKmI,"This week we are joined by Zita Mackay, a former competitive bodybuilder and current competitive power lifter. We talk about her mental health issues and how she has dealt with them in the past. We also talk about the importance of mental health awareness and how it has helped her in her training and in her personal life.
",3,UCF_NLP2
04Llj5QjDot46TEDGj7lbI,"Vanessa Jazz is a Toronto based family and real estate lawyer, motivational speaker and upcoming author. She has also recently launched and is the CEO of her own charity known as Survivors Unleashed. In this episode, Vanessa shares her story of how she was forced into the sex trafficking world as a teenager and how she survived.
",3,UCF_NLP2
04xHi6OlXWxwnQUE66jH2i,"In 2 Corinthians 4:16-18, Paul talks about how we keep from losing heart in the midst of suffering and how we can shift our perspective from outward wasting away to inward renewal.
",3,UCF_NLP2
05EF9y109a39kdWnc4caqg,"Instagram - Discord Server - discord.gg/qugJAVp Merch - or use the Anchor app to call the show and leave a message and you might be featured on the show! Instagram - /MMMThatsGoodSTF Instagram - Fortnite - Discord Server- Patreon - com/MMKMDAILYFORTNITE Instagram - Twitter - twitter. @MMMikedaddy13 Instagram - Instagram: @MMDMikey13 Youtube -  Check out my old podcast, Tri-Pod.
",0,UCF_NLP2
00SE6vEbN1PU6OFV9anG5i,"""The Eyes Have It"" by Ruskin Bond is a story about a blind girl and a blind man on a train journey. The story was written by an Indian writer of British descent and won many awards like Sahitya Academy Awards and Padma Shri.
",3,UCF_NLP2
05gIsdiumhzh7JjEhBELVr,"Barry Cohen is a writer and comedian who has been involved in and out of pro-wrestling for over 20 years. He has been in the ring with Paul Paul the whole gag Paul for a couple of years and has been writing and performing stand-up comedy. He is the author of ""Why We Love Star Wars: The Great Moments That Built A Galaxy Far, Far Away"" and is the co-host of the podcast ""Youths, Crazy Utes, and Library Podcasts"". He is also an event planner and event organizer. Barry is a member of the Los Angeles Jewish Community Centers Board of Directors.
",3,UCF_NLP2
05twJsuaGpK4wyXZsWZu08,"In this episode we talk to Gary Bennett about his career, the 2006 World Series Championship with the Philadelphia Phillies, and his thoughts on the current state of Major League Baseball. We also discuss how much Chris News was paid to get him on the show and what he would like to see change in the game of baseball.
",3,UCF_NLP2
06lTquWPAOVJexhZonvQCa,"Check us out every 2nd Sunday of the month on Spotify, Apple Podcasts, or whatever you listen to your favorite podcast platforms! We'll also be featuring other artists on this podcast as well!
",1,UCF_NLP2
07y0yNc4rF8JOVDEAX7zT2,"Today were discussing a topic that hits home literally for the estimated 1.5 million people who live in strata housing in British Columbia. strata corporations are legal entities whose members are the owners of the individual strata lots and common areas. These corporations and their agents are considered organizations under the Personal Information Protection Act . While PIPA does not cover individuals actions as private citizens, it does cover the actions taken by strata Corporations. Well delve into this intersection between the personal and the commercial more throughout this episode. We'll discuss what you can do if your strata complex feels like a prison, with cameras set out to police the slightest by-law infraction. As well as two representatives of a Victoria based property management firm, we wanted to hear their most common strata-related privacy concerns and how theyve dealt with them. Information and Privacy Commissioner Michael McAvoy will bring clarity to some of these contentious issues and discuss how our office can help. This episode is part of our Privacy Right educational series, which aims to connect British Columbias Personal Information protection act to the everyday work of the more than 1 million organizations that collect, use and store personal.
",3,UCF_NLP2
00v0W2K3d8o68maX79QK2v,"On this week's episode of Days and Days, the gang is joined by a very special guest to talk about the Taylor Swift/Haley Swift debate. We also talk about our CBA team winning a series against Iowa, Madison getting a rose from Peter, and the women telling all episode.
",2,UCF_NLP2
081FoKeWRf8nzJi6MQFKRl,"Xavier Tio Dave is the Executive Creative Director at CNX, leading a team of talented creative designers and producers. Hes worked at agencies all over the world, starting at Ogilvy in Singapore, before working at Modernista in Boston, Anomaly in New York, and then joining Conde Nast. Xavier is also a fine artist, electronic music enthusiast, and an all-around good guy, and hell be our co-host from time to time throughout Version Final.
",3,UCF_NLP2
08RS6NQIGy9O2KyKVlCzdU,"Episode 24 of All Business Bodybuilding with Joe, Justin, Justin and Dom - The guys talk about the new season of Netflixs Strategy Is Your Words. They also discuss the latest edition of Matt LeBlanc's Reverse Notes which is out now! If you like what we do, check out our Patreon and support us from $1, or Grab a tshirt !!! * Check out my pro shop and use promo code AllBusiness for $10 off your first purchase! My pro shop is located in Alexandria, Virginia and Im a proud member of the Alpha Omega 1 Club.
",0,UCF_NLP2
00x6bXv5JPNTCDteN5JGlP,"This weeks guest needs no introduction! She is an author, wellness consultant, and self-care queen. She teaches workshops and retreats centered on helping others find their voice through storytelling, poetry, and narrative writing rooted in trust without shame. She is the magic behind Words for Wanderer, Loving My Language, Neon Soul, and my all-time favorite, the Today I Affirm Journal, which I have to be honest, has been the only journal I have ever been able to stick to and incorporate into a daily wellness routine. In this episode, we talk about: How to find your voice through writing How to tap into your soulful and true authentic self and voice How to connect with yourself in a way that doesnt feel overwhelming and anxious How to use writing as a tool to connect to your true self How writing can help you connect with your inner child How writing is a way of connecting with yourself How to create a space where you can find your creative voice in a creative way How to keep your voice authentic and authentic to you How to be authentic to yourself and not the world What to do when youre not sure what your true authentic voice is How to get your writing into action How to make writing your authentic voice.
",3,UCF_NLP2
