Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,"I'm Maria Menounos and you're tuned in to AfterBuzz TV the ESPN of TV Todd. This episode was insane you guys I'm your host DJ. Unfortunately Ally couldn't be with us tonight, but we'll see her back next week and I'm here with my lovely co-host a b'nai Chatman. So excited season 3 episode 9. So who so many things happened on this episode that we need to unravel, but this episode opened up with ish and Madison, which was interesting. It was interesting seeing is back in town. He's back for a little bit unfortunately has to go out to Canada for another few months. Sadly the terrible trip, but okay. I'm glad to see that Madison got her little ish fixed. Okay, you know there's a lot of things I need to be fixed in their relationship. Right and then for him to kind of the script on her at the end of episode I kind of was thrown off by that. And then after that, he pops the big question not to marry them but asking her to move in with him in La what are your thoughts on that? Doesn't she have any live in LA didn't she move like right isn't she moving?",1,bartcnn
01qEmLFElBRXlHzqT0ifI9,"March Madness special. We're counting down the top 31 Sports scandals of the past 31 years today. We are going back to 1995 when college basketball was rocked by a bizarre point-shaving Scandal for the players involved they wanted to Lose by a lot. March 1st 1995 as the final buzzer sounded the crowd at the Chrysler Center went wild the Michigan Wolverines had thrashed the Northwestern Wildcats 81 264. They hadn't just lost the game. They had unexpectedly covered the spread and Pendergast lost every dime. None of the Northwestern players looked happy as they slunk back to the locker room, but starting guard Kenneth Dion Lee and centre-forward Dewey Williams were absolutely Furious. They'd lost out on $8,000, of course, neither early nor Williams had expected to win. They've been missing shots all game hoping to lose by more than 25 points. But as Lee and Williams would soon find out their gambling debts were the least of their worries the federal government was watching and soon they both lose their freedom to Welcome to sports criminals a March Madness special where we're going to take you back to one of the most shocking sports scandals in history.",3,bartcnn
020VZpYLp8NdRDibQXjpVY,"""I'm praying on to God it when you'll get up cause this is Africa time. This isn't over the top. We're getting closer. You know, it's serious. If you get down get up get down and get up at this time for Africa. Make yourself up and dust yourself off.",0,bartcnn
02M6TWdvrauOreyDIFYKmI,"Hello. Hello, I'm Derek weekly and welcome to the fifth episode of the weekly weekly podcast and I want to thank you for listening liking and subscribing as so far and want to touch another thing that I did last week. I made a mistake on the Caroline Flack part where I was talking about the meme she put out and about be kind and I notice when I listen back to it that I said be nice. I got a wrong. And so sorry about that little bit of interference. It's not a big mistake. I just fly in and then and on the big part I messed up, but sorry Zita. I'm sorry. I was flying. There it is, but it is fun. We're in the middle of a storm Jorge outside. You can probably hear that coming through on the the earphones you'll hear the wind and the rain and things like that. But you know, that is great about it. That's I think that's understandable. I would recommend them highly and and it's a coincidence this week. We have someone who's already benefited from his massage last weekend and she is a former competitive bodybuilder and a current competitive power lifter. And her name is Ian mackaye.",1,bartcnn
04Llj5QjDot46TEDGj7lbI,"Welcome to the New perspective podcast where we share stories and get into deep conversation with the intent of educating our listeners to new insight new ways of thinking and of course New Perspectives. Welcome everyone. My name is Kapil guy and you're tuned in to the finding perspective podcast and we're here today to talk to a very special guest about her life and her journey and her story and we hope that you'll join us for the next episode of New perspective and I had a chance to speak with her earlier this year. Her name is Vanessa. Vanessa is a toronto-based family and real estate lawyer a motivational speaker and upcoming author. And she has also recently launched and is the CEO of her own charity known as survivors Unleashed. So without further Ado welcome to the podcast Vanessa. Thank you for having me. So I actually had the pleasure of hearing you share your remarkable story earlier in the year, but our listeners have not had to. So, can you please just give us a little bit of info of you know what we're in for today, so my story doesn't begin. Can the 90s but it certainly begins when I was a teenager and I was coerced into the sex trafficking World in Canada.",3,bartcnn
04xHi6OlXWxwnQUE66jH2i,"Hello and welcome to the living with hope podcast a daily devotional where we dig into God's word and explore what it means to live with. Hope in Jesus. Hey guys, it's Peter fry and welcome back to the Living with Hope podcast and we're going to talk about the light momentary in 2nd Corinthians chapter 4 verse 16 and verse 18 and what's Peter saying what'm he saying he's anxious he got to come back to this momentary Affliction is preparing for us an eternal weight of Glory beyond all comparison as we look not to the things that are seeing it here and moment to us through the eyes of Jesus. We have this treasure The Treasure of the Gospel the good news of Jesus in Jars of Clay. And so it's through suffering that God Delights and showing his resurrection power as it said in second Corinthians 4 verse 7. We see that suffering is not the end. We're suffering we're broken. Broken ordinary vessels that are wasting away and that's the first thing that Paul points us to hear and synchrony is for 16 through 18 about how we keep from losing heart is that we focus on inward renewal rather than outward wasting away.",2,bartcnn
05EF9y109a39kdWnc4caqg,"Hello. I'm your host Mike EA Ka Mike. Daddy AKA magnificant Mikey. Welcome back to another episode of daily Fortnight your daily podcast about Fortnight. The first thing I want to go over today is a fortnight hype night and height night plus in Chapter 2 season 2. This is a blog post from the Fortnight competitive team calling all operatives operatives. Hallelujah, it's time to prove your Worth to the agency by climbing the ranks during this season's hype nights each Friday and Saturday between March 6th and April 25th times listed in game. You will have the chance to compete for hype rewards at the conclusion of each three-hour event. The top-ranked agents of each ghost in Shadow, hype night plus will be rewarded with more than with more lucrative hype rewards. So the top one percent will receive one thousand to five. 1250 hype the top 5% will receive 950 top 10% will be 625 top 20% will been 475 and the top 50% will get 300. For operatives looking for more of a challenge. Please note that you will not be able to win any of the hype rewards that you'll you know, the all the other agents will get.",2,bartcnn
00SE6vEbN1PU6OFV9anG5i,"Hello. Hello, my dear friends. It's Jessica here today and welcome to my podcast today in this episode of podcast. I'll direct you a story by Ruskin Bond. He's an Indian writer with British descent and he has won many awards like sahitya Academy Awards and Padma Shri. I am personally a big fan of his writings and today you gonna sit back relax unwind yourself and listen to the story while where I shall take you on a train journey of two young Strange's let's get started. I found the story in an old book of mine and there is something about the way he write his story. These the way I brings characters to life. I had a dream compartment to myself to Rohana. As I was totally blind at the time my eyes were sensitive only to light and darkness. I moved easily along the bird and felt for the window ledge the window was open and I faced it making a pretense of studying the landscape. Then a girl got it the couple who saw her of were probably her parents. They seemed very anxious about her comfort and the women gave her detailed instruction as to where to give her things.",2,bartcnn
05gIsdiumhzh7JjEhBELVr,"Barry Cohen. The following is a presentation of morning drive media broadcasting from beautiful Burbank, California. This is an epilogue files. I'm kidnapped suck and I'm happy to report we're interviewing people again. I love when I do that because that's what the show is built on and then it became a podcast feed and not every show in the feet is that but I love getting back into the interview room and we're very happy to have this guests coming on. So please welcome the show Barry Cohen. How are you bearing? I'm doing great. Thanks for asking. Yeah, I'm great. Let me explain number one. I get asked a lot can I'm thinking of starting a podcast. And you're thinking about it. It's one of those things that when people do wrong, you know, what people do right? You don't feel it, right and anticipate. But let's go on there's creation tools that allow you to record and edit your podcast right from your phone or computer. You need to make a podcast in one place. Anchor you can make money from your podcast with no minimum listenership. It is the easiest way to start a podcast right?",1,bartcnn
05twJsuaGpK4wyXZsWZu08,"All right. Welcome back everyone. We're back here with any number two and we're joined by a very special guest Gary Bennett Gary. Thanks for having me guys pleasure to be here. And before we get going we want to give a big shout-out to our great friends and partner over at All Star Sports the premier enhance quality catching equipment. If you're looking to enhance your receiving game going over to their website www.ultratrust.com and you will find an array of great training gloves anywhere from the donut to The Equalizer to the focus framer or even the glove that was designed by our very own Chris news. All right, and that is how much did Chris news pay you to come onto our show? I think I actually owe him. I reached out to him and say may give me on this and was hesitant.",1,bartcnn
