Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,"Siesta Key - Season 3 - Episode 9 ""The Big Question"" Hosts @dj_maguire and @abandonchatman talk all about the latest episode of Siesta Key. Ish and Madison finally get together, and Ollie pops the big question. Madison gets her relationship back on track after a terrible trip to Canada, and asks him to ask her to move in with him in L.A. Today's After Show Was Hosted By: DJ Maguire (@dj_mausic) & A.B. Chatman (@ABChatman) ABOUT SIESTA KEY: From the producers of ""Laguna Beach"" comes the ultimate summer series, ""The Real Housewives of Beverly Hills, 90210."" Based on the real-life story of the same name, this docuseries follows the lives of five women as they navigate their relationships, from friendships to romantic relationships, to navigating the ups and downs of everyday life in their new hometown.  Each week, a new cast of characters will be introduced and the plots will be developed.",3,bartpodcasts
01qEmLFElBRXlHzqT0ifI9,The Northwestern Scandal's players on the Northwestern Wildcats were busted for intentionally losing games to pay off gambling debts - a point-shaving scandal that would rock college basketball for years to come.,2,bartpodcasts
020VZpYLp8NdRDibQXjpVY,"If you get down, get up, get down. Get up at this time for Africa. Make yourself up and dust yourself off. Everyone's watching. We're getting closer. This isn't over yet.",2,bartpodcasts
02M6TWdvrauOreyDIFYKmI,"Welcome to the fifth episode of the Weekly Weekly Podcast. In this episode I speak to Zita MacMackayne, a former competitive bodybuilder and current competitive power lifter. We talk about her upbringing, how she got into bodybuilding and how she became a competitive powerlifter. We also touch on the importance of kindness and how it can help with anxiety and depression. I also give a shout out to my friend Declan who recently started a Massage and Holistic Massage course in Tullamore, Co. Louth. I hope you enjoy this episode and if you do please give it a review and subscribe to the podcast, tell all your friends and tag me in your social media posts.",3,bartpodcasts
04Llj5QjDot46TEDGj7lbI,"Find Your Perspective"" is a podcast where we share stories and get into deep conversation with the intent of educating our listeners to new insight, new ways of thinking and of course new perspectives. In this episode, I have the pleasure of speaking with Vanessa Jazz. Vanessa is a Torontonio based family and real estate lawyer, motivational speaker and upcoming author. She has recently launched and is the CEO of her own charity known as SURVIVAL UNLEASHED.",3,bartpodcasts
04xHi6OlXWxwnQUE66jH2i,"So we do not lose heart, though our outer self is wasting away, our inner self is being renewed day by day for this light momentary affliction is preparing for us an eternal weight of glory beyond all comparison."" -",2,bartpodcasts
05EF9y109a39kdWnc4caqg,Hype Night and Hype Night+ are not cash tournaments for Chapter 2 Season 2. Our goal is to improve performance before kicking off any cash prize competitions.,1,bartpodcasts
00SE6vEbN1PU6OFV9anG5i,"The Eyes Have It"" by Ruskin Bond is a story by an Indian writer with British descent. He is an award-winning writer with many awards like the Sahitya Academy Awards and Padma Shri. In this story, we take a journey on a train with a girl who is blind and a young man who is very much in love with her.",3,bartpodcasts
05gIsdiumhzh7JjEhBELVr,"Epilogue"" - Barry Cohen joins Ken Napzok (@KenNapzok) in the studio to talk about his 20-year pro wrestling career, how he survived a car crash, and what it's like to be in the business of event planning.  Ken also talks about his new book, ""Wedding Day,"" which is out now.   Presented by AfterBuzz TV, a production of Gimlet Media, is a weekly podcast series that breaks down the ins and outs of the entertainment industry. Episodes are available on Apple Podcasts, Spotify, Google Podcasts and many more platforms. Follow us on Twitter and Instagram @afteruzztv, visit AfterBuzzTV.com/files, and check out our new merch designs in our online store at shop.spreadshirt.me/afteruzzmedia. Logo by Courtney DeKorte. Theme by Mavus White.",3,bartpodcasts
05twJsuaGpK4wyXZsWZu08,"How much did Chris News pay you to come onto our show?"" How much did you pay me to come on our show? How much money did I pay to get me on?"" What was your first call up to the major leagues? How did you get your first hit? How do you feel about the 2006 World Series Championship? How does it feel to win a World Series with the Phillies?  How did you feel when you won your first World Series? How was it like being the last man standing in the dugout? How would you feel if you won the World Series for the first time as a Giant? How is it like to be the last Giant to win it all?   We are joined by Gary Bennett to discuss all of these questions and more on this episode of the show.  Gary is a former Major League Baseball catcher who is now a professional baseball coach. He has been in the business for over 20 years and has been involved in many different aspects of the game of baseball, including coaching, pitching, and scouting. He is also the owner and operator of the Catching Academy, a private coaching company that specializes in the development and development of baseball coaches.",2,bartpodcasts
