Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,"Join hosts DJ and Aneesh as they break down Season 3 Episode 9 of Siesta Key, ""Siesta Key.""  Ish and Madison finally get together, but it's not a great date. Ish asks Madison to move in with him in LA, but Madison says she doesn't want to live with him.  We also get to see Ish ask Madison to marry him, but she says ""no"" to him. We also get a glimpse into the future of the relationship between Ishi and Madison, and we get to hear Ish tell Madison that he'll be back in town in a few months. Join us as we break it all down! ABOUT SIESTA KEY: From the producers of ""Laguna Beach"" comes the newest spin-off series ""The Hills,"" based on the hit ABC show of the same name. Based on location in Los Angeles, California, the series follows a group of young adults who spend the summer together in their hometowns as they pursue their dreams and pursue romantic relationships.",2,categoryaware1
01qEmLFElBRXlHzqT0ifI9,"Today we're traveling back to 1995, when players on the Northwestern Wildcats were busted for intentionally losing games to pay off gambling debts.",3,categoryaware1
020VZpYLp8NdRDibQXjpVY,"Get up and dust yourself off, it's time for Africa. Get up, get up, and get up. We're getting closer. This isn't over the pressures, on to God it when you'll get up cause this is Africa time. If you get down, get down. Get down get down get up get up at this time for this time. Everyone is watching. You know it's serious. We're getting closer, this isn't over the pressure.",3,categoryaware1
02M6TWdvrauOreyDIFYKmI,"In this episode I talk to former competitive bodybuilder and current competitive power lifter, Zita Mackay. We talk about her upbringing and how she got into bodybuilding, how she became a competitive powerlifter and why she started her own business. We also talk about the importance of kindness and how it can help with anxiety and depression. I also give a shout out to my friend Declan for doing a Massage and Holistic Massage last weekend. I hope it helped with my anxiety and I would love for you to check out Zita's Facebook page https://www.facebook.com/ZitaMackayfitness/ and her website https://zita-mackay-fitness.com.",3,categoryaware1
04Llj5QjDot46TEDGj7lbI,"Vanessa Jazz is a Toronto-based family and real estate lawyer, motivational speaker and motivational speaker. She has also recently launched and is the CEO of her own charity known as ""Survivors Unleashed."" In this episode, Vanessa shares her remarkable story of how she was coerced into the sex trafficking world as a teen and how she overcame the fear of being taken away from her family. She shares her story and how it changed the trajectory of her entire life. She also shares her journey of self-worth and self-acceptance.",3,categoryaware1
04xHi6OlXWxwnQUE66jH2i,"In 2 Corinthians 4:16-18, Paul describes how to keep from losing heart. Though our outer self is wasting away, our inner self is being renewed day by day. For this light momentary affliction is preparing for us an eternal weight of glory beyond all comparison.",3,categoryaware1
05EF9y109a39kdWnc4caqg,"Fortnite Hype Night + and HypeNight+ are coming to Ftnite in Chapter 2 Season 2, and I talk about why we should all pitch in and play in them.",1,categoryaware1
00SE6vEbN1PU6OFV9anG5i,"In this episode of podcast, I will direct you on a story by Ruskin Bond. He is an Indian writer with British descent and he has won many awards like Sahitya Academy Awards and Padma Shri. I found the story in an old book of mine and there is something about the way he write his story and how he brings characters to life.",1,categoryaware1
05gIsdiumhzh7JjEhBELVr,"Barry Cohen is an event planner, comedian, stand up comedian, and writer. He has been involved in and out of pro wrestling with Millennium Pro Wrestling and some other vets. We have known each other for about 20 years. From the Jewish Community Center to this table, this table now. We met 20 years ago and we've been here longer than most people I knew for 3 or 4 years in high school that have great meaning to my life. But he's been here for longer than I have. I have known this human being for about twenty years. I think this is one of those weird moments when you realize you have known him for twenty years and you think of him as for these people as, ""Hey, it's someone new that I've met."" We're going to talk about that and everything and everything sounds like a plan. We talk about how he survived the car crash, and how he has had some injuries and accidents in his life. He'd survived them and I have and we are going to discuss that and we have survived them. And we are talking about how we have been friends for 20 years and how we met each other.",2,categoryaware1
05twJsuaGpK4wyXZsWZu08,We are joined by a very special guest Gary Bennett to talk about his journey through professional baseball and how he got to where he is today. We also talk about the 2006 World Series Championship with the Philadelphia Phillies and his time in the major leagues. We discuss his first call up to the Major leagues and his first hit at the major league level. Gary also talks about how he was able to get his first at bat and first hit in the big leagues. He also gives us some great advice on how to get the most out of the game and how to make the most of your time in baseball.,3,categoryaware1
06lTquWPAOVJexhZonvQCa,"This is a show where we'll be discussing the creative community, not just as individuals, but also as a community. We will also talk about what it's like to express ourselves and share stories through our respective creative fields.",3,categoryaware1
