Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,"This week McKenzie Fayne and Lee Fayne talk all about Teen Mom 2 Season 9 Episode 6 where Madison and Alex finally move in together, Alyssa and Chloe have a heart to heart, Alex and Juliette's relationship continues to be complicated, and Madison's family is not happy with the way things are going. Tune in! The cart comes way before the horse in the reality series """"Teen Mom 2."""" Based on the hit Danish format, """"The Real Housewives of New Jersey"""" is a reality television series that premiered on The CW on January 26, 2014. The show follows a group of young adults confronting issues of love, heartbreak, betrayal, class, and looming adulthood as they pursue their dreams and each other while living in a different state of mind. The first season was a success, but the second season was plagued by financial issues that threatened to derail the entire project. As the series wound down, the cast faced financial challenges of how to pay off student loans, buy a house, and find a way to support themselves while trying to maintain a healthy work-life balance.",1,coarse2fine
01qEmLFElBRXlHzqT0ifI9,The Northwestern Wildcats were busted for intentionally losing games to pay off gambling debts.,3,coarse2fine
020VZpYLp8NdRDibQXjpVY,"Africa Time"""" - Best Motivational Speeches Of All Time - Best African Speeches of All Time | Best Motivation Speeches In Africa | Best Inspirations Of All-Time | Most Inspirational Speech Speeches in Africa | The Most Inspiring Speeches From Africa | Top Motivators in the World | Best Speeches from the World's Most Influential Speakers on Africa | Who Are The People Who Inspire The People? | Who Inspires the People Who Lead The People In Africa? | Which Speakers Inspire the People in Africa? • Who Inspirates the People In The World? | How Do You Inspire Your People? • Which People Inspire You? • How do you inspire your people? • What are the people who inspire you? • Do you inspire the people in your life? • Are you inspired by the people you surround yourself with? • Where do you get your inspiration from? • When do you find inspiration? • Why do you feel the need to inspire others? • Is it important for you to get up and get out of bed in the morning? • Does it matter what time of the day it is? •",0,coarse2fine
02M6TWdvrauOreyDIFYKmI,"I was born with tattoos, I was born to be a fighter, I've always been a fighter and I always wanted to be in the sport of powerlifting, but I never felt like I was good enough for the sport, so I gave it a go. I started competing in the powerlifting world in 2014 and I've never looked back.  I've always had the drive and drive to be the best I can be, and I'm always looking for the next big thing. I'm a competitor and I want to do what I can to help other people to do the same. I've had a lot of people ask me how I got to where I am today and I think I'm doing a good job. I just want to share my story with you guys. I hope you enjoy this episode and if you do please give us a review and rating and subscribe to the podcast, tell all your friends and tag us in your social media posts. We'll read out the reviews and tag you in the next episode.",2,coarse2fine
04Llj5QjDot46TEDGj7lbI,"In this episode, I sit down with my good friend and fellow lawyer and human trafficking survivor, Rachael, to talk about her journey to becoming a lawyer, her experience with sex trafficking and how she was able to make amends with her family and friends.  We also talk about what it's like to be in a relationship with someone who is a sex trafficker and what it was like for her to leave her home and move across the country to work in the field of human trafficking. I hope you enjoy this episode and if you do, please give us a review and rating and subscribe to our podcast, tell all your friends and tag us in your social media posts!",3,coarse2fine
04xHi6OlXWxwnQUE66jH2i,"For this light, momentary affliction is preparing for us an eternal weight of glory beyond all comparison!"""" As we look not to the things that we are seeing, but to things that are unseen, the things we see are transient, but the things unseen are eternal!"""" So we do not lose heart.",2,coarse2fine
05EF9y109a39kdWnc4caqg,"#Fortnite #Season2 #HypeNightPlus #Ep.2 The Fortnite competitive team is calling all operatives operatives. It's time to prove your worth to the agency by climbing the ranks during this season's hype nights each Friday and Saturday between March 6th and April 25th. The top performing agents of each ghost and shadow tournament will win the following hyper-awards based on their final ranking.  The top 1% will receive 100 hype, the top 5% will get 375, the bottom 20% will be 250, and the bottom 50% will only get 300. This is a blog post from the FortNite Competitive Team called """"Hype Night Plus"".""",2,coarse2fine
00SE6vEbN1PU6OFV9anG5i,"The eyes have it"","" by Ruskin Bond, is a story about a blind girl who is taken on a train journey with her blind companion.",3,coarse2fine
05gIsdiumhzh7JjEhBELVr,"This is the last epilogue for the year, and it's a good one. We have a very special guest this week, and a very funny one at that.",1,coarse2fine
05twJsuaGpK4wyXZsWZu08,"We talk about the early days of the Phillies, the struggles of the 1990s, the early 2000s, and the current state of the game.  We also talk about our favorite moments from the 2010s and what we would do differently if we had the chance to do it all over again. It's a great conversation with one of the best baseball minds of all time, and we hope you enjoy it!  You can follow us on Twitter and Instagram @salad_podcast and check us out on Facebook at the Salad Podcast.",1,coarse2fine
