Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,"Join hosts Aimee and Todd as they break down Season 3 Episode 9 of #SiestaKey! Tune in to find out how Alyssa and Alex’s relationship takes a turn for the worst. Ish and Madison reunite with Brandon, JJ and JJ are back together, and Amanda steps in to save the day. Tune in!",2,cued_speechUniv4
01qEmLFElBRXlHzqT0ifI9,"This episode is brought to you by Sports Criminals, a Parcast Original. For more stories like this one, check out our other episodes on the top sports scandals of the past 31 years. In 1995, three members of the Northwestern Wildcats basketball team were busted for intentionally losing games to pay off gambling debts. It was a scandal that would rock college basketball.",3,cued_speechUniv4
020VZpYLp8NdRDibQXjpVY,If you get down get up get up Get down get down Get up at this time of year for Africa ’കാവി,0,cued_speechUniv4
02M6TWdvrauOreyDIFYKmI,"This week we talk about body dysmorphia, anxiety and depression with Ian Mackaye. Ian is a former competitive bodybuilder and current competitive powerlifter. We talk about her experience with mental health and how it has affected her fitness and how she has dealt with it.",3,cued_speechUniv4
04Llj5QjDot46TEDGj7lbI,"Vanessa is a Toronto based family and real estate lawyer, motivational speaker, a motivational speaker and upcoming author. She has also recently launched and is the CEO of her own charity known as SURVIVAL UNLEASHED. In this episode, Vanessa shares her story of being trafficked into the sex trafficking world in Canada as a teenager.",3,cued_speechUniv4
04xHi6OlXWxwnQUE66jH2i,"Though our outer self is wasting away, our inner self is being renewed day by day, for this light momentary affliction is preparing for us an eternal weight of glory beyond all comparison as we look not to the things that are seen, but to things unseen. For the things seen are transient, but the things unseen are eternal.",3,cued_speechUniv4
05EF9y109a39kdWnc4caqg,In this episode I talk about the upcoming hype nights and how to find your drop spot. I also go over the item shop and give you a tip on how to harvest materials as fast as possible at the beginning of the match so that you’re ready for the midgame and and game.,2,cued_speechUniv4
00SE6vEbN1PU6OFV9anG5i,"In this episode, I take you on a train journey of two young strange men on a strange journey. One of them is blind and the other is partially sighted. This is the story of The Eyes Have It by Ruskin Bond. I hope you will enjoy it.",2,cued_speechUniv4
05gIsdiumhzh7JjEhBELVr,"Barry Cohen joins The Knapsack Files for a very special epilogue. Barry is an event planner, event organiser, and writer. He has been involved in and out of pro wrestling with Millennium Pro Wrestling, TNA, and some other vets. He is also the author of the book Why We Love Star Wars: The Story of Star Wars. Barry and I talk about how he got his start in the comedy scene, how he became a DJ, and what it's like to be in a wrestling ring with Frankie Kazarian.",3,cued_speechUniv4
05twJsuaGpK4wyXZsWZu08,"Former Major League Catcher Gary Bennett joins the show to discuss his journey from catching in the minors to the big leagues. We talk about his time with the St. Louis Cardinals, the 2006 World Series Championship, and his time as a member of the New York Yankees catching staff.",3,cued_speechUniv4
06lTquWPAOVJexhZonvQCa,"Welcome to See and Be Seen I Cast! This is a show where we will be discussing the creative process, not just as individuals but also as a community. We will also talk about what it’s like to express ourselves and share stories through our respective creative fields. We’ll be featuring other artists on this podcast as well.",3,cued_speechUniv4
07y0yNc4rF8JOVDEAX7zT2,"In this episode, the Information and Privacy Commissioner for British Columbia, Michael McAvoy, talks to experts in the field who deal with issues like these on a daily basis, including the heads of the condominium homeowners association and Vancouver Island strata owners, as well as two representatives of a Victoria based property management firm.",3,cued_speechUniv4
00v0W2K3d8o68maX79QK2v,"The Nati gang is joined by special guest Tyler Cordy to talk about the Nati Game, Taylor Swift, and more!",3,cued_speechUniv4
