Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,"On this week's episode of Siesta Key, Ish pops the big question to Madison, Alyssa and Madison get their relationship back on track, Alex and Madison reunite with Brandon, and Khloe and Alex have a heated argument. Tune in to hear our thoughts on all of it!",3,hk_uu_podcast1
01qEmLFElBRXlHzqT0ifI9,"In 1995, the Northwestern Wildcats were busted for intentionally losing games to pay off gambling debts. For the players involved, they wanted to lose by a lot.",3,hk_uu_podcast1
020VZpYLp8NdRDibQXjpVY,Make yourself up and dust yourself off. Everyone's watching. We're getting closer. This isn't over. The pressure is on to God.,0,hk_uu_podcast1
02M6TWdvrauOreyDIFYKmI,In this episode Derek talks to Zita Mackaye about her struggles with anxiety and how she has found a way to fight back against it.  Zita is a former competitive bodybuilder and current competitive power lifter.,3,hk_uu_podcast1
04Llj5QjDot46TEDGj7lbI,"In this episode, Vanessa shares her story of how she was coerced into the sex trafficking world as a teenager. She shares how she survived the horrific experience and how she overcame the trauma to become a successful lawyer, motivational speaker, author and CEO of her own charity.",3,hk_uu_podcast1
04xHi6OlXWxwnQUE66jH2i,"So we do not lose heart, though our outer self is wasting away, our inner self is being renewed day by day, for this light momentary affliction is preparing for us an eternal weight of glory beyond all comparison, as we look not to the things that are seen, but to the unseen.",3,hk_uu_podcast1
05EF9y109a39kdWnc4caqg,"In this episode I talk about hype night and hype night plus in chapter 2, the new item shop items, and the hype night challenge. I also talk about the new update to aim assist.",2,hk_uu_podcast1
00SE6vEbN1PU6OFV9anG5i,"In this episode of podcast, I direct you a story by Ruskin Bond. He is an Indian writer with British descent and he has won many awards like Sahitya Academy Awards and Padma Shri. I found the story in an old book of mine and there is something about the way he write his story that brings characters to life. I am personally a big fan of his writings.",3,hk_uu_podcast1
05gIsdiumhzh7JjEhBELVr,"Barry Cohen is an event planner, stand-up comedian, and former professional wrestler. He has been in and out of the ring with Roddy Piper and has been involved in a lot of different ways in his life. Barry is a great storyteller and has a great sense of humor.  He has a lot to say about stand up comedy and how he got into it.",3,hk_uu_podcast1
05twJsuaGpK4wyXZsWZu08,"Chris News sits down with Gary Bennett to discuss his career as a catcher in the Major Leagues and the 2006 World Series Championship with the Philadelphia Phillies.  Gary shares his thoughts on the evolution of the game, the importance of the offensive side of the bat, and what it takes to be successful behind the plate.",3,hk_uu_podcast1
06lTquWPAOVJexhZonvQCa,"Welcome to See and Be Seen Icast! This is a show where we will be discussing the creative community, not just as individuals but also as a community. We will also be featuring other artists on this podcast as well.",3,hk_uu_podcast1
07y0yNc4rF8JOVDEAX7zT2,"In this episode, the Information and Privacy Commissioner of British Columbia, Michael McEvoy, talks about the importance of a comprehensive privacy policy for strata-related issues, including video surveillance, complaint letters, and more. He also talks to experts in the field who deal with issues like these on a daily basis, including the heads of the condominium homeowners association and the Vancouver Island strata owners, as well as two representatives of Victoria-based property management firm.",3,hk_uu_podcast1
00v0W2K3d8o68maX79QK2v,"The boys are joined by a very special guest to talk about Madison's decision to take off her private story, the women tell all episode, and our new merch!",0,hk_uu_podcast1
081FoKeWRf8nzJi6MQFKRl,"Xavier Tan is the Executive Creative Director at Cnx, leading a team of talented creative designers and producers. He's worked at agencies all over the world, starting at Ogilvy and Singapore, before working at Modernista in Boston and anomaly in New York, and then joining Conde Nast. Xavier is also a fine artist, electronic music aficionado, and an all-around good guy, and he'll be our co-host from time to time throughout Version Final.",3,hk_uu_podcast1
08RS6NQIGy9O2KyKVlCzdU,"Episode 24 of All Business Bodybuilding with Luke, Justin, Joe, Justin and Dom.  We talk about the new coronavirus outbreak in the U.S., the all-all diet, the Arnold Arnold butterfly, and more!",1,hk_uu_podcast1
00x6bXv5JPNTCDteN5JGlP,"This week's guest needs no introduction. She is an author, wellness consultant, and self-care queen. She teaches workshops and retreats centered on helping others find their voice through storytelling, poetry, and narrative writing rooted in trust without shame. Alexandra is the magic behind Words for Wanderer, Loving My Language, Neon Soul, and my all-time favorite, the Today I Affirm Journal.",3,hk_uu_podcast1
