Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,"I'm Maria Menounos and you're tuned in to AfterBuzz TV the ESPN of TV Todd. Now look the buzz. So excited season 3 episode 9. This episode was insane you guys I'm your host DJ. Unfortunately Ally couldn't be with us tonight, but we'll see her back next week and I'm here with my lovely co-host a b'nai Chatman. Oh my goodness. A lot of things are up on this episode of Siesta Key up and down up and down literally honestly, okay. So who so many things happened on this episode that we need to unravel, but this episode opened up with ish and Madison, which was interesting. It was interesting seeing is back in town. He's back for a little bit unfortunately has to go out to Canada for another few months. I'm about to see him in the episode. I'm glad to see that Madison got her little ish fixed. Oh, yes, he did. Okay, you know there's a lot of things I need to be fixed in their relationship. Sadly the terrible trip, but okay. Yeah, honestly, okay, so it opened up with them. Finally getting together dates going well and...",0,onemin
01qEmLFElBRXlHzqT0ifI9,"It's our Sports criminals, March Madness special every day in March. We're counting down the top 31 Sports scandals of the past 31 years today. We're traveling back to 1995 when players on the Northwestern Wildcats were busted for intentionally losing games to pay off gambling debts a point-shaving scandal that would rock college basketball for more shocking sports events from history tune in right here every day to our March Madness special. Listen free on Spotify. Or wherever you get your podcast. March 1st 1995 as the final buzzer sounded the crowd at the Chrysler Center went wild the Michigan Wolverines had thrashed the Northwestern Wildcats 81 264. None of the Northwestern players looked happy as they slunk back to the locker room, but starting guard Kenneth Dion Lee and centre-forward Dewey Williams were absolutely Furious. They hadn't just lost the game. They'd lost out on $8,000, of course, neither early nor Williams had expected to win.",2,onemin
020VZpYLp8NdRDibQXjpVY,"Make yourself up and dust yourself off. Everyone's Watching You know, it's serious. We're getting closer. This isn't over the pressures on to God it when you'll get up cause this is Africa time. If you get down get up get down get up at this time for Africa. Make yourself up and dust yourself off. Everyone's Watching You know, it's serious. We're getting closer. This isn't over the pressures on to God it when you'll get up cause this is Africa time. If you get down get up get down get up at this time for Africa.",0,onemin
02M6TWdvrauOreyDIFYKmI,"Hello, I'm Derek weekly and welcome to the fifth episode of the weekly weekly podcast and I want to thank you for listening liking and subscribing as so far and want to touch another thing that I did last week. I made a mistake on the Caroline Flack part where I was talking about the meme she put out and about be kind and I notice when I listen back to it that I said be nice. It's not a big mistake. It's not a big difference, but You know my OCD kicked in and I kind of wanted to set it right to talk about kindness as well and want to give a shout out to my friend Declan. He's a guy who I train with sometimes in Fusion training center in Jiu-Jitsu. He does it in Tullamore normally, but when he comes across and he trains over with us, he about two months ago, maybe three months ago now he sent me a message kind of out of the blue. We'd only really talked about Jiu-Jitsu up until then on the mats and Of and he said he would start doing a massage and holistic course and he asked if I wanted to you know, if we wanted to see if it would help with my anxiety and depression and things like that because he had read some of my blogs. So, you know, I it was just a really really...",1,onemin
04Llj5QjDot46TEDGj7lbI,"Like I was as I was saying you don't go through the trauma unscathed on the outside. I was successful smart lawyer on the inside. I was a self-loathing woman with no self-worth the decisions I made in relationships to decisions that I didn't make because of my fear was all because of this 18 months of my life. Welcome everyone. My name is Kapil guy and you're tuned in to the finding perspective podcast where we share stories and get into deep conversation with the intent of educating our listeners to new insight new ways of thinking and of course New Perspectives. So today I have a very special guest with me. Her name is Vanessa. Jazz. Vanessa is a toronto-based family and real estate lawyer a motivational speaker and upcoming author. And she has also recently launched and is the CEO of her own charity known as survivors Unleashed. So without further Ado welcome to the podcast Vanessa. Thank you for having me. So I actually had the pleasure of hearing you share your remarkable story earlier this year,...",2,onemin
04xHi6OlXWxwnQUE66jH2i,"Hey guys, it's Peter fry and welcome to the living with hope podcast a daily devotional where we dig into God's word and explore what it means to live with. Hope in Jesus. Second Corinthians Chapter 4 verses 16 through 18. So we do not lose heart. Though our outer self is wasting away. Our inner self is being renewed day by day for this light momentary Affliction is preparing for us an eternal weight of Glory beyond all comparison as we look not to the things that are seeing but to the things that are unseen for the things that are seen are transient, but the things that are unseen are eternal Here in this passage. Paul is describing how we keep from losing heart how we keep from giving up in the midst of suffering as you know, the verses and chapters that led up to this moment...",3,onemin
05EF9y109a39kdWnc4caqg,"Welcome back to another episode of daily Fortnight your daily podcast about Fortnight. I'm your host Mike EA Ka Mike. Daddy AKA magnificant Mikey. The first thing I want to go over today is a fortnight hype night and height night plus in Chapter 2 season 2. This is a blog post from the Fortnight competitive team calling all operatives operatives. Hallelujah, it's time to prove your Worth to the agency by climbing the ranks during this season's hype nights each Friday and Saturday between March 6th and April 25th times listed in game. You will have the chance to compete for hype rewards at the conclusion of each three-hour event. The top-performing Agents of each ghost and Shadow tournament will win the following hyper Awards based on their final ranking. So the top one percent will get Hundred hype the top 5% will get 375 the top 10% will get 250 the top 20 will get a hundred ninety and the top 50% will...",2,onemin
00SE6vEbN1PU6OFV9anG5i,"Hello, my dear friends. It's Jessica here today and welcome to my podcast today in this episode of podcast. I'll direct you a story by Ruskin Bond. He's an Indian writer with British descent and he has won many awards like sahitya Academy Awards and Padma Shri. I found the story in an old book of mine and there is something about the way he write his story. These the way he brings characters to life. I am personally a big fan of his writings and today you gonna sit back relax unwind yourself and listen to the story while where I shall take you on a train journey of two young Strange's let's get started. The eyes have it by Ruskin Bond. I had a dream compartment to myself to Rohana. Then a girl got it the couple who saw her of were probably her parents. They seemed very anxious about her comfort and the women gave her detailed instruction as to where to give her things. When not to lean out of the windows and how...",2,onemin
05gIsdiumhzh7JjEhBELVr,"Hey dance, like files fans. I'm here to talk about anchor why because it's the easiest way to make a podcast. Let me explain number one. It's free. It's free. It's free. I could stop there. But let's go on there's creation tools that allow you to record and edit your podcast right from your phone or computer. Anchor will distribute your podcast for you. So can be heard on Spotify Apple podcast and many many more. Seriously, there's places my podcast is on. I've never heard of thanks. Anchor you can make money from your podcast with no minimum listenership. It's everything. You need to make a podcast in one place. I get asked a lot can I'm thinking of starting a podcast. Well, I'm telling you start that podcast with anchor download the free anchor app or go to Anchor dot. F m-- to get started today. The following is a presentation of morning drive media broadcasting from beautiful Burbank, California. This is an epilogue files. I'm kidnapped suck and I'm happy to report we're interviewing people again. I love when I do that because that's what the show is built on and then it became a podcast feed and not every show in the feet is that but I love getting back into the interview room and I'm very happy to have...",1,onemin
05twJsuaGpK4wyXZsWZu08,"Ladies and gentlemen catches of all ages and to our listeners around the world. It's time for the only podcast like at the mound rigid with your host other day, bro, a meddling a good roll. Welcome back everyone. It's about the start of any number two. And before we get going we want to give a big shout-out to our great friends and partner over at All Star Sports the premier enhance quality catching equipment. If you're looking to enhance your receiving game going over to their website www.ultratrust.com star sports.com and you will find an array of great training gloves anywhere from the donut to The Equalizer to the focus framer or even the glove that was designed by our very own Chris news. The pocket All Star Sports is on the Leading Edge of Sporting Goods technology, and the Coming weeks. We will have one of its founding fathers of this great company. So stay tuned. All right now, let's get rolling with any number two. All right, everybody. We're back here with any number two...",0,onemin
