Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,"It is what it is. So she needs to find her. Some of that so she can stay on. Oh, it's like I would say that too. But then again it's like if Chloe ends up like all these other people that are getting all coupled up on the show.",0,textranksegments
01qEmLFElBRXlHzqT0ifI9,"Terry Tate thanks for listening to sports criminals. March Madness will be back tomorrow with next year's Scandal. You can catch our other episodes of sports criminals for free on Spotify or wherever you listen to podcasts. They are loss was pendergast's gained following the Penn State game. He paid Williams and Lee a total of $4,000 for their efforts. Being high after the Penn State loss Lee and Williams doubled their asking price to $8,000 to throw the upcoming game against Michigan Pendergast agreed and bet $20,000 on Michigan for his bet to pay off.",2,textranksegments
020VZpYLp8NdRDibQXjpVY,"Make yourself up and dust yourself off. Everyone's Watching You know, it's serious. We're getting closer. This isn't over the pressures on to God it when you'll get up cause this is Africa time. If you get down get up get down get up at this time for Africa.",0,textranksegments
02M6TWdvrauOreyDIFYKmI,"You know, it's weird. Hmm. They're looking at me. Whereas sometimes I'm not a competition. I'm around an environment and I just think it's just being in in with everyone I should feel more comfortable. Yeah. Whereas looking at me performing my lifts. I it is a sport. It's a sport. I could be good at and I got to where I felt you know what I do, but I couldn't this I liked it now. I don't like it anymore and went into 2 power lifting. What what didn't you like about it anymore? It's what I started competing in 2014. I did a couple of shows here. I didn't NPC show that in America my mom moved to America and remarried about 14 years ago. I think and I did a show over there and it's you know, it's highly competitive.",0,textranksegments
04Llj5QjDot46TEDGj7lbI,"I couldn't ignore it. So I mean I was just like wow, this guy really loves me. And he still does, you know tell us more about you know, you know in your journey in law school, you're you know, you've graduated you've done your you've done your undergrad in sociology. It's probably going to be around the time when my agent gets very busy. Yes. Yes. No, and I'm looking I'm excited to watch that. I'm really looking forward to that and you know, what like for you blessing me to be he being on my podcast that I will do everything in my power to make sure that at this can one day won't be a movie.",0,textranksegments
04xHi6OlXWxwnQUE66jH2i,"Hey guys, it's Peter fry and welcome to the living with hope podcast a daily devotional where we dig into God's word and explore what it means to live with. Hope in Jesus. Second Corinthians Chapter 4 verses 16 through 18. So we do not lose heart. You got a paper cut. Light momentary Affliction that sounds pretty trivial but as we know from 2nd Corinthians chapter 9 and other places Paul has been walking through the wringer of suffering. He's been beaten Shipwrecked. He's been starved. He's anxious all of these realities he's going through the thick of it.",3,textranksegments
05EF9y109a39kdWnc4caqg,"This is a blog post from the Fortnight competitive team calling all operatives operatives. Hallelujah, it's time to prove your Worth to the agency by climbing the ranks during this season's hype nights each Friday and Saturday between March 6th and April 25th times listed in game. Make sure you subscribe so you don't miss an episode and until next time have fun. Be safe and don't get lost in the storm. We've made to aim assist we plan to remove use the Legacy look controls setting on March 13th. So a week from now to use the new settings and maintain your legacy sensitivities select copy from Legacy and Controller options and toggle off use Legacy look controls. No players who have used who have used Legacy look controls enabled when the setting is removed will have their legacy sensitivities automatically converted to the new sensitivity settings.",2,textranksegments
00SE6vEbN1PU6OFV9anG5i,"Hello, my dear friends. It's Jessica here today and welcome to my podcast today in this episode of podcast. I'll direct you a story by Ruskin Bond. He's an Indian writer with British descent and he has won many awards like sahitya Academy Awards and Padma Shri. I replied answer usually formidable creatures. Where are you going? She asked to Dara and then to masuri. Oh how lucky you are. I wish I were going to Missouri. I love the Hills. Especially in October. Yes. It's the best time I said calling on my memories. The hills are covered with dahlias. The sun is delicious and at night you can sit in front of log fire and drink a little Brandy. Most of the tourists have gone and the roads are quite an almost deserted. Yes October is indeed the best time she was silent.",1,textranksegments
05gIsdiumhzh7JjEhBELVr,"You're like, I know I slayed there's no laughter a lot of the a lot of times. It's just the mic a lot of times. It's just the mic, you know the crab a lot of times though. It might be your memory putting more laughter in place. Right and I've got a whole career. I've got a wife. I've got a dog to take care of great great dogs wiener dog wiener dog love wiener dogs. What what take me to that moment. Something just popped into my head going. What would you think of rivers because they had her on as a guest house? Yeah. I'm pissed off Carson but going I love Joan Rivers right all incarnations. And he's Joe Nall. Even the crazy fashion days. Even the early days. I think she's a mean marvelous Miss maysles kind of I think Loosely inspired some of her.",0,textranksegments
05twJsuaGpK4wyXZsWZu08,"But who is the one that kind of kind of took you aside and gave you some tips to help you help you improve every year. So I think Glenn brahmer don don McCormick. I think hopefully you feel the same way. They were huge to me. You know, but I don't I don't think I ever was in a position where I had someone literally come up the line and try to you know, even like on a force play home, you know bases loaded and you got the runner bearing down.",0,textranksegments
