Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,"You got me. Sadly the terrible trip, but okay. It's distance. I'm sorry. I felt so bad for Khloe. Anchor. It is what it is. So she needs to find her. Yeah. Hmm. Mmm. Yeah, you know, it's crazy. I'm so confused. Who are the who are the people that were injured? Okay, that was cute. He was blaming it on the alcohol. So it is what it is. Yeah. Blah blah blah. Yeah. I have no idea. So I'm confused. So it's a different. She's pregnant. And so it's the sides. So it is what it is. Okay. Is it? Yep those are our predictions. I'm DJ. Hmm. It's been They said what month it is July because it was Fourth of July this weekend. Okay. Hmm. It's exciting. I'm feeling uncomfortable and he has to address it.",0,textranksentences
01qEmLFElBRXlHzqT0ifI9,We're counting down the top 31 Sports scandals of the past 31 years today. This is the 6th episode in our March Madness special this month. We're counting down the top 31 Sports candles from 1990 to 2020. I'm Carter Roy and I'm Tim Johnson in today's episode. He'd started gambling and losing his debts were so severe that a campus bookie began threatening him promising to make his life. Hell if he didn't pay up soon. That's when he met the man. He saw as his Guardian Angel 24 year. They are loss was pendergast's gained following the Penn State game. The Pendergast was confident. Listen free on Spotify. He bet meanwhile unbeknownst to Kenneth Lee. Terry Tate thanks for listening to sports criminals. Or wherever you get your podcast. They hadn't just lost the game. The Wolverines were favored with a 25 point spread instead.,0,textranksentences
020VZpYLp8NdRDibQXjpVY,"Make yourself up and dust yourself off. Everyone's Watching You know, it's serious. We're getting closer. This isn't over the pressures on to God it when you'll get up cause this is Africa time. If you get down get up get down get up at this time for Africa.",0,textranksentences
02M6TWdvrauOreyDIFYKmI,"Okay. That's that's what you meant. Yeah. Junkie. I'm sorry. Yeah. It was Tuesday. So Ziza. Yes. Well, my father. Yeah. Yeah. Yeah. Yeah. What the heck? I'm sorry. Yeah. I agree a tickets. I was flying. Yeah. Yeah. Yeah. Yeah. That's incredible. Yeah. Yeah. Knock race. Yeah. There it is. There it is, but it is fun. I said to him. Okay. Throw it at me. Sorry. Um, The Morini Mac. Yeah. I'm serious. Yeah. Imagine. Hmm. Yeah. And it's complete judgment. Well, that's the competitiveness in me. Mentally. So the doctor has prescribed me. Okay. I know you said earlier on that. She has the rest. Yeah. That's that's it. Okay. Yeah. Yeah. I described that. So Hayes Hayes tattooed. Yeah. Yeah. So I change the subject. Yeah. Yeah. Yeah. Is it a bitch eyebrows? And where's the sword is practicing for you? Yeah. Okay. It's okay.",0,textranksentences
04Llj5QjDot46TEDGj7lbI,"Yeah and Nova Scotia. Thank you for having me. It is pretty much slavery. So that was the constant threat. Yeah, so in my heart and soul. No, no. Was it? I kept choosing. No, no treatment. Yeah. Welcome everyone. Yeah. Okay. I was a self-loathing. Yeah. He pressured me to move. It happens. It's in the United States. So anyway, I met him and yeah, the rest is history. We were experimenting with cigarettes. I obviously was marginalized student. Okay. But you know, they were proud of me. Cell phone with you. Yeah it is. Yes. Who are attending post-secondary educational programs? And that's when I was physically mentally. He was there to disconnect my cable. Yeah. I know that in my soul. So prevalent lie. Yes. Yes. No, and I'm looking I'm excited to watch that. Sorry. Jazz.",0,textranksentences
04xHi6OlXWxwnQUE66jH2i,"Hey guys, it's Peter fry and welcome to the living with hope podcast a daily devotional where we dig into God's word and explore what it means to live with. Hope in Jesus. We have this treasure The Treasure of the Gospel the good news of Jesus in Jars of Clay. He says though. We're suffering we're broken. There's this inner renewable that happens that we are strengthened. Second Corinthians Chapter 4 verses 16 through 18. We need it's not that we get this injection. You got a paper cut. He's been beaten Shipwrecked. He's been starved. He's anxious all of these realities he's going through the thick of it. Offerings to prepare for us an eternal weight of Glory. And so God is at work. He is able to redeem the most hard and hurtful things in our lives to use them for good. We do.",1,textranksentences
05EF9y109a39kdWnc4caqg,"You also have the inversion blades harvesting tool a powerful mix of Darkness and Light. Twin turbo Echo class jet prototype. So pretty cool. This is 800 V bucks. You have the Livin Large emote and this deemed emote. Mmm. Okay. That has big prize money. Daddy AKA magnificant Mikey. So there's that. What else I want to mention. They release the maintenance patch on iOS. I have been using linear since they made it an option. So I'm already used to it. So who knows maybe this will lead to less complaining but I'm sure the pros whenever they die. They will find though. Oh, you know what earlier tonight? If that was something you were playing earlier on any Easter Brazil servers tonight. That was a thing. You actually have to play matches. Hey guys. It's easy.",0,textranksentences
00SE6vEbN1PU6OFV9anG5i,"Hello, my dear friends. It's Jessica here today and welcome to my podcast today in this episode of podcast. Well it often happens that people with good eyesight fails. I replied answer usually formidable creatures. He's an Indian writer with British descent and he has won many awards like sahitya Academy Awards and Padma Shri. Oh how lucky you are. I love the Hills. Especially in October. Yes. The hills are covered with dahlias. What is it? She asked. These the way he brings characters to life. No, I answered quite confidently. I knew there were hardly any animals left in the forest near there. She laughed pleasantly a clear ringing. Laughs. I said well thank goodness it to show journey. So close that perfume of her hair was tantalizing. That was Darkness for me. Well, I do remember he said sounding whistle. So take care and bye. Bye.",0,textranksentences
05gIsdiumhzh7JjEhBELVr,"No. Yeah. Okay. Okay. Okay. Yeah. Yeah. The groom was downstairs. Yeah. Yeah, so that's that. Okay. Yeah. How are you bearing? Okay? Thanks for asking. Yeah. Yes. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. Yeah. You know, he's trained. Yeah. That's an image. Yeah, that's it. Yeah. Yeah. Yeah. Yeah. Yeah. Okay. What problems you struggle with? Okay, and that is what is humorous form. Okay. Okay, it's a Glee 1937 German. Yes. Yeah. Yeah, okay. Okay. That's It's viable trade heart rate. Yeah. Yeah. Yeah. Yeah. Yeah, that's krustyburger me. Yeah. Yeah. Yeah. So stay there. I was impersonal absolute. Yes. Yeah. Yeah. Whoo. Yeah. Yeah. Yeah Avalanche Avalanche or whatever. Yeah. Yes. Okay. Okay. Yeah Bobby jr. Sh. I know who you are. It's for his rent. Yeah. Yes. Yeah. Yeah. Yeah. Yes. Yeah. Yes. Yes. Yeah. Wherever you are. You. It's there. So I'm excited.",0,textranksentences
05twJsuaGpK4wyXZsWZu08,"Yeah. I got a I got a buddy of mine Pete kozma. Thanks for joining us. It was eight. I'm sorry. Yeah. Yes. You know how independent? Anyway. Yeah. Correct. 1995 believe me. Okay. Yeah. I was in Milwaukee. Yeah. None of us. Sorry. And with that Jose Luis crew. Suppan. Was that April? Whatever that that emotion of what it was when that happened. It's Rowdy. He was mid to Upper 90s locating. No, no. No I said misinterpreted. That's insane. Yes. Scott Sanders in San Diego. What's that? Who is it? I'm the plug. Okay. So yeah a slider. Yeah. That's my phone. Yeah. Yeah. Yes boat. They were huge to me. Wow. Well, analytically he sucks. Yeah. No. You know, how they deal with adversity. This is long overdue. Yes pun intended. So stay tuned. So I was happy at that.",0,textranksentences
06lTquWPAOVJexhZonvQCa,"Hi there, I'm Joanna. I'm JD F. I'm Rebecca. I'm Erin and you're listening to see and be seen I cast this is a show where we'll be discussing the creative like not just as individuals but also as a community will also talk about what it's like to express ourselves and share stories through our respective creative Fields. Also the time you're here from us, but will also be featuring other artists on this podcast as well. If you're interested in listening to this podcast, be sure to check us out every second Sunday of the month on Spotify Apple podcast or whatever you listen to. Just enjoy.",3,textranksentences
07y0yNc4rF8JOVDEAX7zT2,It seemed inevitable. Goes by this broad access to records stipulated in the strata property act and what advice he gives try to corporations looking to reassure people that they're still able to protect personal information. They take a photograph on them. Put it on the face. My website is another option for stratis though. To get started. But frankly that's happens on rare occasions. I wanted to discuss a topic that crops up regularly and news headlines. Jones is dog is pooping on the lawn. Or outside of Fitness room. Valence for that purpose. Does your strata Corporation have one according to Peggy Madsen of Cornerstone Properties strata corporations often only think about their own practices when they see someone else's privacy crisis making headlines.,0,textranksentences
00v0W2K3d8o68maX79QK2v,"Listener. Yeah. There's no shame. Okay. Whatever. Why hurts it hurts. I'm sorry. So there it is. No, I wish I wish. Yeah. Geez. Okay. Yeah. Okay. Sniff sniff it smells. Yeah. Sorry. Okay. Thank you. Yeah. It was a lesson. Thanks Belle. Thank you. No. Yeah, so we got it. Yeah. Yeah. Yeah. Yeah. Yeah, but that's our FEMA. How's that? I'm listenership. I know. Yeah. Yeah, it's a PVP. Sorry Falcao. Hey toad. Yeah. Yeah. Okay. Okay. I'm a construction. There? Repeat. Yeah. Yes. Okay. Okay. Okay. Hey. So this is okay. Hey. Okay. Hey. So Katie Roach. Yeah. It's a bank. Okay. Okay. Yeah, I got that. Okay. Okay. Nope? Yeah. I'm sorry. Thank you. Thank you for that. But okay. It's on Netflix. It's I enjoyed it. Yes. Yes, yes. Yes. I'm sorry. Yeah. She's so patient. Yeah. There was Jacob. No biggie.",0,textranksentences
081FoKeWRf8nzJi6MQFKRl,"My sister was acting is so bad. It was tough. Yep. Yeah, exactly have a huge presence. That is so delicate that it doesn't belong in the meeting room. My best word. So everything is cool. What is it? Who's that? Oh my God. There is how you decide. Oh, wow. It depends. But I think ultimately it's about keeping young. Yeah. It becomes a painting that's how creativity evolves and I think that's a really interesting way to look at it. They are sustainable. Yeah. Yes often meets so much. I knew. Yay. Thank you for the conversation. Thanks for helping us. Kick this off. This isn't cute. Thank you. Thank you so much. That's the irony of it. There's no rules. Who's that? That's it. Oh my God. Yeah. Yeah. It's a fast forward a bit. Yeah.",0,textranksentences
08RS6NQIGy9O2KyKVlCzdU,"Yeah. I'm sorry. Yeah. Absolutely. So Tuesday. Of course. I told my wife she helped me. You know, she she I'm blessed to have a wife who cares and was there with me. Yes, definitely. Whatever that is. Yeah. Yeah. How are you? Obviously, it's a an ankle. Science, I'm sorry Haley. How are you? Endogenous lie. You know, whatever tissue is. You know supplementation. My name is Luke. No, I'm shipping that I'm stripping that and my car. He's fine. That's horrible. We have a pathway that's activated. Yes. Yeah. Whoever it is. We started mid-December. So I'm excited. Yeah, it's tremendous. That's awesome. But I'm Carmen with that with somebody. Thank you. Well, thank you the link to the latest edition of Matt. LeBlanc reverse is Professor notes. Okay. Yeah what? Thank you. Bye. That's exactly the movies. So no. Yeah. Yeah. Okay. I'm gonna turn sasebo.",0,textranksentences
