Number,Summary,Score,Network
00DkMSm0fRH9TpwtvJL4N0,Ish pops the big question on this episode of siesta key up and down! is it a ring or a key? is it just a necklace? is madison expecting a ring? listen to find out! afterbuzz tv maria menounos and kevionningon talk about their thoughts,0,udel_wang_zheng4
01qEmLFElBRXlHzqT0ifI9,"In 1995, players on the northwestern wildcats basketball team were busted for intentionally losing games to pay off gambling debts. For more shocking sports events from history, tune in right here every day to our march madness special! it's our sports criminals, march madness, special every day in march!",3,udel_wang_zheng4
020VZpYLp8NdRDibQXjpVY,Afrobeats! get up and dust yourself off. Its africa time and its our time for afro-beaters!somani.,0,udel_wang_zheng4
02M6TWdvrauOreyDIFYKmI,"In this episode, I sit down with joshua and talk about her journey with anxiety, bodybuilding and how she deals with it. She also talks about the importance of mental health and how it has helped her overcome anxiety and how to deal with it as well as her own personal experiences with anxiety and depression.",3,udel_wang_zheng4
04Llj5QjDot46TEDGj7lbI,"In this episode, vanessa shares her story about how she survived a night in the sex trafficking world as a teenager. She talks about the trauma of losing her virginity at the age of 17 to a random murderer who picked her up the next car who was responsible for the murder of her friend kelly, and how she overcame it all 18 months ago to become",3,udel_wang_zheng4
04xHi6OlXWxwnQUE66jH2i,"In this message pastor ken teaches on how to keep from losing heart. How to shift your perspective from outward wasting away to inward renewal, and how you can keep your perspective moving forward!",3,udel_wang_zheng4
05EF9y109a39kdWnc4caqg,"Hype night is a new chapter in chapter 2 of fortniteer 2 season 2. In this episode, we introduce a new 3 hour event for operatives looking for more of a challenge, and a new opportunity to win even more hypdredotes after the event than you have been able to",2,udel_wang_zheng4
00SE6vEbN1PU6OFV9anG5i,"In this episode of my podcast, i'll direct you a story by ruskin bond. He's an indian writer with british descent and he has won many awards like sahitya academy awards and padma shri, among which he shares with you his unique way of bringing characters to life.",2,udel_wang_zheng4
05gIsdiumhzh7JjEhBELVr,"In this episode of the files, I sit down with barry cohen to discuss his life and injuries. We talk about his recent car crash, how he got out of a serious condition, and how he plans to deal with it in the near future! barry is a former radio personality, radio host, radio producer, and author of the new book, the morning drive media, '' the morning show''",3,udel_wang_zheng4
05twJsuaGpK4wyXZsWZu08,"In this episode, chris talks to professional baseball player gary bennett. Gary discusses his journey from the minor leagues to the pros and how much did chris news pay him to come on the show? stay tuned!",3,udel_wang_zheng4
06lTquWPAOVJexhZonvQCa,"In this episode, erin and joanna will be discussing what it is like to be a creative, not just as individuals, but as a community! be sure to check us out every second sunday of the month on spotify, apple podcast or whatever you listen to.",3,udel_wang_zheng4
07y0yNc4rF8JOVDEAX7zT2,"In this episode of the bylaws podcast, we discuss the importance of having proper video surveillance in the workplace. We also talk about the recent showpoint decision on video surveillance and what it means to be a good ole straddle.",0,udel_wang_zheng4
00v0W2K3d8o68maX79QK2v,"On this episode of days and days we are joined by our first ever merch member of the og natty gang! we talk about his journey to corti and what it was like growing up in the friend zone. Growing up as a man, and how he was able to achieve his dreams! on this weeks bachelorette,",0,udel_wang_zheng4
